VA_DATE,VOLCANO_NAME,VOLCANO_ID,OBS_DATE,OBS_LOWALT,OBS_HIGHALT,OBS_CONTOUR,FCST+6_DATE,FCST+6_LOWALT,FCST+6_HIGHALT,FCST+6_CONTOUR,FCST+12_DATE,FCST+12_LOWALT,FCST+12_HIGHALT,FCST+12_CONTOUR,FCST+18_DATE,FCST+18_LOWALT,FCST+18_HIGHALT,FCST+18_CONTOUR
201803311906,FUEGO,342090,201803311845,SFC,FL160,N1428W09054N1426W09051N1415W09056N1420W09106N1428W09054,201803010100,None,None,NO ASH,201803010700,None,None,NO ASH,201803011300,None,None,NO ASH
201803311329,FUEGO,342090,201803311300,SFC,FL160,N1428W09056N1426W09053N1404W09132N1416W09144N1428W09056,201803311900,SFC,FL160,N1428W09056N1425W09052N1401W09128N1413W09140N1428W09056,201803010100,SFC,FL160,N1428W09055N1425W09052N1359W09126N1410W09135N1428W09055,201803010700,None,None,NO ASH
201803310739,FUEGO,342090,201803310700,SFC,FL140,N1432W09109N1428W09052N1427W09052N1426W09109N1432W09109,201803311300,SFC,FL140,N1433W09112N1428W09052N1427W09052N1426W09111N1433W09112,201803311900,None,None,NO ASH,201803010100,None,None,NO ASH
201803310313,FUEGO,342090,201803310200,SFC,FL140,N1433W09055N1428W09052N1427W09053N1429W09058N1433W09055,201803310800,None,None,NO ASH,201803311400,None,None,NO ASH,201803312000,None,None,NO ASH
201803301629,FUEGO,342090,201803301610,SFC,FL160,N1434W09113N1429W09053N1426W09053N1428W09116N1434W09113,201803302200,None,None,NO ASH,201803310400,None,None,NO ASH,201803311000,None,None,NO ASH
201803271514,FUEGO,342090,201803271500,SFC,FL160,N1431W09052N1426W09052N1421W09124N1427W09125N1431W09052,201803272100,SFC,FL160,N1431W09052N1426W09051N1417W09135N1425W09137N1431W09052,201803280300,SFC,FL160,N1431W09052N1426W09051N1416W09137N1425W09138N1431W09052,201803280900,SFC,FL160,N1433W09141N1431W09051N1425W09052N1423W09141N1433W09141
201803262306,FUEGO,342090,201803262245,SFC,FL140,N1434W09133N1429W09053N1426W09053N1426W09053N1417W09134N1434W09133,201803270500,None,None,NO ASH,201803271100,None,None,NO ASH,201803271700,None,None,NO ASH
201803251341,FUEGO,342090,201803251300,SFC,FL150,N1428W09053N1426W09053N1413W09125N1426W09126N1428W09053,201803251900,SFC,FL150,N1428W09127N1427W09052N1425W09052N1417W09126N1428W09127,201803260100,SFC,FL150,N1428W09127N1428W09053N1425W09052N1416W09126N1428W09127,201803260700,None,None,NO ASH
201803242021,FUEGO,342090,201803242000,SFC,FL160,N1428W09053N1408W09102N1413W09112N1428W09053,201803250200,SFC,FL160,N1428W09052N1408W09101N1413W09113N1428W09052,201803250800,None,None,NO ASH,201803251400,None,None,NO ASH
201803241441,FUEGO,342090,201803241345,SFC,FL160,N1429W09053N1428W09053N1427W09051N1404W09104N1408W09111N1429W09053,201803242000,SFC,FL160,N1429W09052N1427W09050N1401W09106N1408W09118N1429W09052,201803250200,SFC,FL160,N1429W09052N1426W09050N1359W09105N1408W09118N1429W09052,201803250800,SFC,FL160,N1430W09053N1427W09050N1359W09105N1408W09118N1430W09053
201803240924,FUEGO,342090,201803240900,SFC,FL160,N1429W09053N1429W09052N1413W09049N1413W09056N1429W09053,201803241500,SFC,FL160,N1429W09053N1429W09052N1410W09048N1410W09058N1429W09053,201803242100,SFC,FL160,N1429W09052N1428W09052N1408W09056N1411W09104N1429W09052,201803250300,SFC,FL160,N1429W09053N1428W09052N1408W09100N1411W09108N1429W09053
201803231309,FUEGO,342090,201803231245,SFC,FL160,N1429W09056N1429W09053N1428W09053N1412W09058N1417W09108N1429W09056,201803231900,SFC,FL160,N1429W09100N1429W09053N1427W09052N1413W09103N1418W09114N1429W09100,201803240100,None,None,NO ASH,201803240700,None,None,NO ASH
201803230711,FUEGO,342090,201803230645,SFC,FL160,N1431W09053N1426W09052N1415W09101N1423W09108N1431W09053,201803231300,SFC,FL160,N1431W09053N1428W09053N1413W09059N1416W09107N1431W09053,201803231900,None,None,NO ASH,201803240100,None,None,NO ASH
201803221249,FUEGO,342090,201803221230,SFC,FL160,N1431W09052N1426W09050N1419W09105N1426W09108N1431W09052,201803221830,SFC,FL160,N1431W09053N1431W09052N1426W09049N1406W09114N1411W09125N1431W09053,201803230030,SFC,FL160,N1431W09053N1426W09049N1358W09113N1404W09128N1431W09053,201803230630,SFC,FL160,N1432W09053N1426W09049N1405W09130N1420W09138N1432W09053
201803220706,FUEGO,342090,201803220645,SFC,FL160,N1434W09112N1429W09052N1426W09052N1417W09110N1434W09112,201803221300,SFC,FL160,N1429W09110N1428W09054N1426W09050N1413W09108N1429W09110,201803221900,SFC,FL160,N1429W09053N1426W09050N1411W09105N1427W09113N1429W09053,201803230100,SFC,FL160,N1430W09054N1424W09050N1408W09104N1423W09111N1430W09054
